year,country,category,category_percentage,item,value,ranking,url
2015,Albania,Equality and non-discrimination ,0.7,Constitution (sexual orientation),False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Equality and non-discrimination ,0.7,Employment (sexual orientation),True,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Equality and non-discrimination ,0.7,Goods & services (sexual orientation),True,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Equality and non-discrimination ,0.7,Other spheres of life (sexual orientation),True,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Equality and non-discrimination ,0.7,Equality body mandate (sexual orientation),True,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Equality and non-discrimination ,0.7,Equality action plan (sexual orientation),True,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Equality and non-discrimination ,0.7,Constitution (gender identity),False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Equality and non-discrimination ,0.7,Employment (gender identity),True,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Equality and non-discrimination ,0.7,Goods & services (gender identity),True,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Equality and non-discrimination ,0.7,Other spheres of life (gender identity),True,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Equality and non-discrimination ,0.7,Equality body mandate (gender identity),True,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Equality and non-discrimination ,0.7,Equality action plan (gender identity),True,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Equality and non-discrimination ,0.7,Law (gender expression),False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Equality and non-discrimination ,0.7,Law and public policy (intersex),False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Family ,0.07,Marriage equality,False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Family ,0.07,Registered partnership (similar rights to marriage),False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Family ,0.07,Registered partnership (limited rights),False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Family ,0.07,Cohabitation,False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Family ,0.07,No constitutional limitation on marriage,True,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Family ,0.07,Joint adoption,False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Family ,0.07,Second-parent adoption,False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Family ,0.07,Automatic co-parent recognition,False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Family ,0.07,Medically assisted insemination (couples),False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Family ,0.07,Medically assisted insemination (singles),False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Family ,0.07,Trans people can marry a person of the other gender,False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Hate crime & hate speech ,0.72,Hate crime law (sexual orientation),True,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Hate crime & hate speech ,0.72,Hate speech law (sexual orientation),True,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Hate crime & hate speech ,0.72,Policy tackling hatred (sexual orientation),False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Hate crime & hate speech ,0.72,Hate crime law (gender identity),True,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Hate crime & hate speech ,0.72,Hate speech law (gender identity),True,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Hate crime & hate speech ,0.72,Policy tackling hatred (gender identity),False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Hate crime & hate speech ,0.72,Law (intersex),False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Legal gender recognition & bodily integrity ,0.0,Existence of legal measures,False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Legal gender recognition & bodily integrity ,0.0,Existence of administrative procedures,False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Legal gender recognition & bodily integrity ,0.0,Name change,False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Legal gender recognition & bodily integrity ,0.0,No Gender Identity Disorder diagnosis/psychological opinion required,False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Legal gender recognition & bodily integrity ,0.0,No compulsory medical intervention required,False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Legal gender recognition & bodily integrity ,0.0,No compulsory surgical intervention required,False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Legal gender recognition & bodily integrity ,0.0,No compulsory sterilisation required,False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Legal gender recognition & bodily integrity ,0.0,No compulsory divorce required,False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Legal gender recognition & bodily integrity ,0.0,Prohibition of medical intervention before child is able to informed consent (intersex),False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,"Freedom of assembly, association & expression ",1.0,"Public events held, no state obstruction (last 3 years)",True,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,"Freedom of assembly, association & expression ",1.0,"Associations operate, no state obstruction (last 3 years)",True,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,"Freedom of assembly, association & expression ",1.0,No laws limiting expression (national/local),True,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Asylum ,0.0,Law (sexual orientation),False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Asylum ,0.0,Policy/other positive measures (sexual orientation),False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Asylum ,0.0,Law (gender identity),False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Albania,Asylum ,0.0,Policy/other positive measures (gender identity),False,20,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8618/0/0
2015,Andorra,Equality and non-discrimination ,0.1,Constitution (sexual orientation),False,27,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8619/0/0
2015,Andorra,Equality and non-discrimination ,0.1,Employment (sexual orientation),True,27,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8619/0/0
2015,Andorra,Equality and non-discrimination ,0.1,Goods & services (sexual orientation),True,27,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8619/0/0
2015,Andorra,Equality and non-discrimination ,0.1,Other spheres of life (sexual orientation),False,27,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8619/0/0
2015,Andorra,Equality and non-discrimination ,0.1,Equality body mandate (sexual orientation),False,27,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8619/0/0
2015,Andorra,Equality and non-discrimination ,0.1,Equality action plan (sexual orientation),False,27,https://web.archive.org/web/20150926065117/https://www.rainbow-europe.org/#8619/0/0
